Name,ASIN NO.,URL,RATING,TOTAL REVIEW,PRICE
American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK) ,B07CJCGM1M,https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_1?crid=2M096C61O4MLT&keywords=bags&qid=1675416185&sprefix=ba%2Caps%2C283&sr=8-1,4.1 out of 5 stars,"(51,370)","₹1,299"
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black) ,B084JGJ8PF,https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_2?crid=2M096C61O4MLT&keywords=bags&qid=1675416185&sprefix=ba%2Caps%2C283&sr=8-2,4.3 out of 5 stars,"(9,226)",₹565
ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue) ,B09TPX22NF,https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1675416185&sprefix=ba%2Caps%2C283&sr=8-3,3.9 out of 5 stars,(462),₹499
Skybags Brat Black 46 Cms Casual Backpack ,B08Z1HHHTD,https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1675416185&sprefix=ba%2Caps%2C283&sr=8-4,4.1 out of 5 stars,"(3,368)",₹669
Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel ,B07M9BRCQ5,https://www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1675416185&sprefix=ba%2Caps%2C283&sr=8-5,4.3 out of 5 stars,"(5,318)",₹889
"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping ",B09B26VHXV,https://www.amazon.in/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B26VHXV/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1675416185&sprefix=ba%2Caps%2C283&sr=8-6,3.9 out of 5 stars,"(2,184)",₹699
"Wesley Unisex Milestone Casual Waterproof Laptop Office School College Business Travel Backpack 25 L (Dimensions: 12.5x18 inches) (Compatible with 15.6 inch laptops), Navy Blue ",B07K8KLB3P,https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07K8KLB3P/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1675416185&sprefix=ba%2Caps%2C283&sr=8-7,4.3 out of 5 stars,"(12,103)",₹498
Half Moon 35 ltrs (33 cms)backpack(Navy Laptop Bags_navy blue) ,B085MHDJ93,https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1675416185&sprefix=ba%2Caps%2C283&sr=8-8,3.9 out of 5 stars,"(14,911)",₹689
DEIN KLEIDER Men's Nylon Messenger Bag ,B084ZHP97M,https://www.amazon.in/Kleider-Travel-Business-Messenger-Shoulder/dp/B084ZHP97M/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1675416185&sprefix=ba%2Caps%2C283&sr=8-9,4.0 out of 5 stars,"(4,396)",₹349
"Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L, Charcoal black ",B085S444JV,https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B085S444JV/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1675416185&sprefix=ba%2Caps%2C283&sr=8-10,4.3 out of 5 stars,"(9,226)",₹565
Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black) ,B075MK4TXP,https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_11?crid=2M096C61O4MLT&keywords=bags&qid=1675416185&sprefix=ba%2Caps%2C283&sr=8-11,4.3 out of 5 stars,"(4,878)","₹1,247"
Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty ,B08YZ8FFBZ,https://www.amazon.in/Lunars-Bingo-Laptop-Resistant-48L/dp/B08YZ8FFBZ/ref=sr_1_12?crid=2M096C61O4MLT&keywords=bags&qid=1675416185&sprefix=ba%2Caps%2C283&sr=8-12,3.9 out of 5 stars,"(8,758)",₹899
Bagneeds Men's Black Synthetic Leather Briefcase Best Laptop Messenger Bag Satchel for Men ,B0855F8174,https://www.amazon.in/Bagneeds-Synthetic-Leather-Briefcase-Messenger/dp/B0855F8174/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1675416185&sprefix=ba%2Caps%2C283&sr=8-13,4.1 out of 5 stars,"(3,613)",₹664
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover ,B0BJ32LQ6X,https://www.amazon.in/Half-Moon-Backpack-Compartment-Reflective/dp/B0BJ32LQ6X/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1675416185&sprefix=ba%2Caps%2C283&sr=8-14,3.9 out of 5 stars,"(2,127)",₹849
Half Moon Strike 35L Unisex Spacious School/ Laptop/ College/ Office Travel Backpack Bag for Men Women Boys & Girls with 15.6 inch Padded Laptop Compartment & Multiple Pockets ,B0BLVQ9NTD,https://www.amazon.in/Half-Moon-Spacious-Backpack-Compartment/dp/B0BLVQ9NTD/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1675416185&sprefix=ba%2Caps%2C283&sr=8-15,3.6 out of 5 stars,(44),₹699
Lavie Sport Lino Large Size 63 cms Wheel Duffle Bag for Travel | Travel Bag with Trolley ,B097RJ22Q3,https://www.amazon.in/Lavie-Sport-Duffle-Luggage-Trolley/dp/B097RJ22Q3/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1675416185&sprefix=ba%2Caps%2C283&sr=8-16,4.0 out of 5 stars,"(5,790)",₹999
Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag ,B098QFF5TJ,https://www.amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1675416198&sprefix=ba%2Caps%2C283&sr=8-17,4.1 out of 5 stars,913,₹798
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls ",B09VTDMRY7,https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1675416198&sprefix=ba%2Caps%2C283&sr=8-18,3.9 out of 5 stars,"2,693",₹689
"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant) ",B088XB5XY8,https://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1675416198&sprefix=ba%2Caps%2C283&sr=8-19,4.1 out of 5 stars,"7,630",₹349
Fur Jaden Anti Theft Backpack 15.6 Inch Laptop Bag with USB Charging Port ,B078GLXMDY,https://www.amazon.in/Fur-Jaden-Black-Waterproof-Backpack/dp/B078GLXMDY/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1675416198&sprefix=ba%2Caps%2C283&sr=8-20,4.0 out of 5 stars,"10,537",₹799
Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black ,B019HA8AYG,https://www.amazon.in/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_21?crid=2M096C61O4MLT&keywords=bags&qid=1675416198&sprefix=ba%2Caps%2C283&sr=8-21,3.7 out of 5 stars,"5,922",₹249
"Mi Step Out 12 L Mini Backpack (Small Size, Dark Blue, Water Repellant) ",B088XH1BP7,https://www.amazon.in/Step-Backpack-Small-Water-Repellant/dp/B088XH1BP7/ref=sr_1_22?crid=2M096C61O4MLT&keywords=bags&qid=1675416198&sprefix=ba%2Caps%2C283&sr=8-22,4.1 out of 5 stars,"7,630",₹299
Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Brown ,B07G4F6XFH,https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH/ref=sr_1_23?crid=2M096C61O4MLT&keywords=bags&qid=1675416198&sprefix=ba%2Caps%2C283&sr=8-23,4.4 out of 5 stars,"5,328","₹1,049"
"Fur Jaden 15.6 Inch Laptop Backpack 25 LTR Bag for School, College and Office with USB Charging Port ",B07J46KLFP,https://www.amazon.in/Casual-Backpack-Charging-Laptop-Compartment/dp/B07J46KLFP/ref=sr_1_24?crid=2M096C61O4MLT&keywords=bags&qid=1675416198&sprefix=ba%2Caps%2C283&sr=8-24,3.8 out of 5 stars,"9,820",₹489
"INOVERA Faux Leather Women Handbags Shoulder Hobo Bag Purse With Long Strap, 32L x 13B x 30H cm ",B08CMQD4BC,https://www.amazon.in/Inovera-Label-Women-Handbags-Shoulder/dp/B08CMQD4BC/ref=sr_1_25?crid=2M096C61O4MLT&keywords=bags&qid=1675416198&sprefix=ba%2Caps%2C283&sr=8-25,4.1 out of 5 stars,"6,804","₹1,399"
Half Moon 30L Waterproof 15.6 inch Laptop Office School College Bag Backpack for Men Women Boys & Girls ,B09QM9N1B3,https://www.amazon.in/Half-Moon-Waterproof-Laptop-Backpack/dp/B09QM9N1B3/ref=sr_1_26?crid=2M096C61O4MLT&keywords=bags&qid=1675416198&sprefix=ba%2Caps%2C283&sr=8-26,3.6 out of 5 stars,343,₹589
Skybags Polypropylene 46 Cms Travel Bag(DFACN1BLU_Blue) ,B0B6CH21F9,https://www.amazon.in/Skybags-Polypropylene-Cms-Travel-DFACN1BLU_Blue/dp/B0B6CH21F9/ref=sr_1_27?crid=2M096C61O4MLT&keywords=bags&qid=1675416198&sprefix=ba%2Caps%2C283&sr=8-27,4.0 out of 5 stars,23,₹658
NIVIA Basic Duffle Polyester Bag/Gym Bags/Adjustable Shoulder Bag for Men/Duffle Gym Bags for Men/Fitness Bag/Carry Bags/Sports & Travel Bag/Sports Kit/Duffle Bags Travel ,B07FWQ9HRV,https://www.amazon.in/Nivia-6853-Polyester-Basic-Duffle/dp/B07FWQ9HRV/ref=sr_1_28?crid=2M096C61O4MLT&keywords=bags&qid=1675416198&sprefix=ba%2Caps%2C283&sr=8-28,4.0 out of 5 stars,"1,983",₹239
"POLESTAR Vintage 15.6 inch 32 LTR Casual Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Backpack , Water Resistant and Light Weight, 1 year Warranty ",B081GSQ9D9,https://www.amazon.in/POLESTAR-Vintage-Laptop-Backpack-bagpack/dp/B081GSQ9D9/ref=sr_1_29?crid=2M096C61O4MLT&keywords=bags&qid=1675416198&sprefix=ba%2Caps%2C283&sr=8-29,3.9 out of 5 stars,"8,344",₹549
"Genie Glitter Backpack for Women - 3 compartments, Laptop Bags for Girls, Stylish and Trendy College Backpacks for Girls, Water Resistant and Lightweight Bags for Office and Travelling Purpose. ",B097JHQH13,https://www.amazon.in/Genie-Glitter-Backpack-Women-compartments/dp/B097JHQH13/ref=sr_1_30?crid=2M096C61O4MLT&keywords=bags&qid=1675416198&sprefix=ba%2Caps%2C283&sr=8-30,4.3 out of 5 stars,300,"₹1,099"
SAFARI 15 Ltrs Sea Blue Casual/School/College Backpack (DAYPACKNEO15CBSEB) ,B07Q7CNPMV,https://www.amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV/ref=sr_1_31?crid=2M096C61O4MLT&keywords=bags&qid=1675416198&sprefix=ba%2Caps%2C283&sr=8-31,4.0 out of 5 stars,"17,773",₹299
"Safari Spartan 21 Ltrs Water Resistant Backpack - Blue, S (SPARTAN19CBBLU) ",B09B26MB5M,https://www.amazon.in/Safari-Spartan-Water-Resistant-Backpack/dp/B09B26MB5M/ref=sr_1_32?crid=2M096C61O4MLT&keywords=bags&qid=1675416198&sprefix=ba%2Caps%2C283&sr=8-32,3.8 out of 5 stars,628,₹599
Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag ,B098QFF5TJ,https://www.amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1675416203&sprefix=ba%2Caps%2C283&sr=8-17,4.1 out of 5 stars,913,₹798
Fur Jaden Anti Theft Backpack 15.6 Inch Laptop Bag with USB Charging Port ,B078GLXMDY,https://www.amazon.in/Fur-Jaden-Black-Waterproof-Backpack/dp/B078GLXMDY/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1675416203&sprefix=ba%2Caps%2C283&sr=8-18,4.0 out of 5 stars,"10,537",₹799
"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant) ",B088XB5XY8,https://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1675416203&sprefix=ba%2Caps%2C283&sr=8-19,4.1 out of 5 stars,"7,630",₹349
Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black ,B019HA8AYG,https://www.amazon.in/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1675416203&sprefix=ba%2Caps%2C283&sr=8-20,3.7 out of 5 stars,"5,922",₹249
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls ",B09VTDMRY7,https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_21?crid=2M096C61O4MLT&keywords=bags&qid=1675416203&sprefix=ba%2Caps%2C283&sr=8-21,3.9 out of 5 stars,"2,693",₹689
NIVIA Basic Duffle Polyester Bag/Gym Bags/Adjustable Shoulder Bag for Men/Duffle Gym Bags for Men/Fitness Bag/Carry Bags/Sports & Travel Bag/Sports Kit/Duffle Bags Travel ,B07FWQ9HRV,https://www.amazon.in/Nivia-6853-Polyester-Basic-Duffle/dp/B07FWQ9HRV/ref=sr_1_22?crid=2M096C61O4MLT&keywords=bags&qid=1675416203&sprefix=ba%2Caps%2C283&sr=8-22,4.0 out of 5 stars,"1,983",₹239
"INOVERA Faux Leather Women Handbags Shoulder Hobo Bag Purse With Long Strap, 32L x 13B x 30H cm ",B08CMQD4BC,https://www.amazon.in/Inovera-Label-Women-Handbags-Shoulder/dp/B08CMQD4BC/ref=sr_1_23?crid=2M096C61O4MLT&keywords=bags&qid=1675416203&sprefix=ba%2Caps%2C283&sr=8-23,4.1 out of 5 stars,"6,804","₹1,399"
"Mi Step Out 12 L Mini Backpack (Small Size, Dark Blue, Water Repellant) ",B088XH1BP7,https://www.amazon.in/Step-Backpack-Small-Water-Repellant/dp/B088XH1BP7/ref=sr_1_24?crid=2M096C61O4MLT&keywords=bags&qid=1675416203&sprefix=ba%2Caps%2C283&sr=8-24,4.1 out of 5 stars,"7,630",₹299
